CASE_ID,GPS_NAC_ADOPTER,SURVEY_SOURCE,STATE,HOME,HAVESOLAR,PROMPT1,PROMPT2,PROMPT3,PROMPT4,PROMPT5,PROMPT6,PROMPT7,PROMPT8,PROMPT9,PROMPT10,PROMPT11,PROMPT12,PROMPT13,PROMPT14,PROMPT15,PROMPT_HOME1,PROMPT_HOME2,PROMPT_HOME3,PROMPT_HOME4,PROMPT_HOME5,INSTALL_YR_BINNED,TIME_AtoB_FRAME,TIME_AtoB_NUM_TEXT_CLND,TIME_BtoC_FRAME,TIME_BtoC_NUM_TEXT_CLND,TIME_CONSIDERED,INST_TALKEDTO,FNDONLYINST1,FNDONLYINST2,FNDONLYINST3,FNDONLYINST4,FNDONLYINST5,FNDONLYINST6,FNDONLYINST7,FNDONLYINST8,FNDONLYINST9,FNDONLYINST10,FNDONLYINST_REC1,FNDONLYINST_REC2,FNDONLYINST_REC3,FNDONLYINST_REC4,FNDONLYINST_REC5,FNDONLYINST_WHO1,FNDONLYINST_WHO2,FNDONLYINST_WHO3,FNDONLYINST_WHO4,FNDONLYINST_WHO5,FNDBESTINST1,FNDBESTINST2,FNDBESTINST3,FNDBESTINST4,FNDBESTINST5,FNDBESTINST6,FNDBESTINST7,FNDBESTINST8,FNDBESTINST9,FNDBESTINST10,FNDBESTINST_REC1,FNDBESTINST_REC2,FNDBESTINST_REC3,FNDBESTINST_REC4,FNDBESTINST_REC5,FNDBESTINST_WHO1,FNDBESTINST_WHO2,FNDBESTINST_WHO3,FNDBESTINST_WHO4,FNDBESTINST_WHO5,FNDNOTINST1,FNDNOTINST2,FNDNOTINST3,FNDNOTINST4,FNDNOTINST5,FNDNOTINST6,FNDNOTINST7,FNDNOTINST8,FNDNOTINST9,FNDNOTINST10,FNDNOTINST_REC1,FNDNOTINST_REC2,FNDNOTINST_REC3,FNDNOTINST_REC4,FNDNOTINST_REC5,FNDNOTINST_WHO1,FNDNOTINST_WHO2,FNDNOTINST_WHO3,FNDNOTINST_WHO4,FNDNOTINST_WHO5,INST_QOTE_BUY_TEXT_CLND,INST_QOTE_LSE_TEXT_CLND,MOTIVE1,MOTIVE2,MOTIVE3,MOTIVE4,MOTIVE5,MOTIVE6,MOTIVE7,MOTIVE8,MOTIVE9,INFLNC_FIRST,INFLNC_SAW,INFLNC_PPLTALK,INFLNC_ADS,INFLNC_OTHKNEW,INFLNC_OTHKNEW_NUM,INFLNC_OTH_MULT1,INFLNC_OTH_MULT2,INFLNC_OTH_MULT3,INFLNC_OTH_MULT4,INFLNC_OTH_MULT5,INFLNC_OTH_MULT6,INFLNC_OTH_MULT7,INFLNC_OTH_ONE1,INFLNC_OTH_ONE2,INFLNC_OTH_ONE3,INFLNC_OTH_ONE4,INFLNC_OTH_ONE5,INFLNC_OTH_ONE6,DIFFICULTY1,DIFFICULTY2,DIFFICULTY3,DIFFICULTY4,DIFFICULTY5,DIFFICULTY6,CONCERN1,CONCERN2,CONCERN3,CONCERN4,CONCERN5,CONCERN6,CONCERN7,CONCERN8,CONCERN9,NPS_PANELS,NPS_INSTALLER,EXPERIENCE1,EXPERIENCE2,EXPERIENCE3,EXPERIENCE4,EXPERIENCE5,EXPERIENCE6,REGRETS,TOLD_OTHERS,TOLD_OTHERS_NUM,TOLD_OTHERS_LOCAL,ACTIVITY1,ACTIVITY2,ACTIVITY3,ACTIVITY4,ACTIVITY5,REFERRAL_NUM,REFERRAL_WHEN1,REFERRAL_WHEN2,REFERRAL_WHEN3,REFERRAL_WHEN4,SIZE_PANELS_BINNED,SIZE_KW_BINNED,BUY_LEASE,LOAN,OPTION_TO_LEASE,WHY_BUY1,WHY_BUY2,WHY_BUY3,WHY_BUY4,WHY_BUY5,WHY_BUY6,WHY_BUY7,LEASE_TYPE,OPTION_TO_BUY,WHY_LEASE1,WHY_LEASE2,WHY_LEASE3,WHY_LEASE4,WHY_LEASE5,WHY_LEASE6,WHY_LEASE7,ECONEVAL,ECONEVAL_SVG_PERIOD,ECONEVAL_SVGS_CLND,ECONEVAL_SVGS_ACTUAL,ECONEVAL_PYBK,ECONEVAL_PYBK_YRS_CLND,ECONEVAL_PYBK_ACTUAL,ECONEVAL_ROR,ECONEVAL_ROR_PCT_CLND,ECONEVAL_ROR_ACTUAL,WINTER_NOPV_BINNED,WINTER_PV_BINNED,SUMMER_NOPV_BINNED,SUMMER_PV_BINNED,PN1,PN2,PN3,E2,BB1,BB2,BB3,BTE8,BE13,BE10,Co3,VB1,VB2,VB3,VA1,VA2,VA3,VT1,VT2,VT3,VE1,VE2,VE4,VO1,VO2,VO3,RISK_AVERSION_CLND,DISCOUNTING_CLND,CIJM1,CIJM2,CIJM3,CNS1,CNS2,CNS4,HOME_MOVED_SINCE2009,SQFT_BINNED,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,HMYRS_1,HMYRS_1_CLEANED,HAS_POOL,HAS_AC,STANCE,PEOPLE_TOT_3PLUS,HAVE_KIDS,GENDER,AGE_BINNED,EDUC_BINNED,FINANCIAL,INCOME_BINNED,RETIRED,RETIRED_LAST5YRS,RETIRE_WHEN,RETIRE_WHEN_BINNED
1362,3,2,4,,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,15,2,1,7,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,0,1,0,0,1,1,0,0,,,,,,,,,,,2,3,5,5,5,5,5,3,5,3,1,2,2,4,4,1,2,2,2,1,1,3,1,1,,,,,,,3,1,1,1,1,1,5,5,4,5,5,5,3,3,1,8,10,4,4,5,3,3,2,1,1,3,1,4,2,2,2,3,3,0,0,1,0,1,,1,0,3,1,3,3,3,3,1,3,,,,,,,,,,2,,,,1,20,4,,,,6,3,6,3,5,5,4,98,5,5,5,4,3,4,4,5,4,4,4,5,3,3,4,3,3,2,3,5,5,4,500,5350,3,4,4,2,2,3,0,3,1,1,1,0,0,1,1,0,3,,1,1,2,0,0,1,4,4,2,2,1,1,,
1363,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,3,1,14,2,4,2,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,1,4,4,2,4,3,3,4,3,2,2,2,2,4,1,2,2,1,3,3,3,2,2,,,,,,,1,1,1,1,5,1,4,4,4,1,4,4,4,2,1,8,5,5,5,5,5,5,5,0,1,2,2,4,4,4,4,4,2,0,1,0,0,2,1,2,,,,,,,,,,2,0,,,,,,,,1,1,50,3,,,,,,,5,4,4,,4,4,5,4,4,4,5,5,3,5,3,4,3,3,4,3,2,5,5,3,4,4,3,5,5,3,200,6000,4,4,3,3,3,3,0,,1,1,1,1,0,0,0,0,2,7,0,0,4,0,0,0,3,3,1,5,0,,1,2
1364,3,2,4,,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,2,1,1,2,4,3,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,3,5,5,5,5,5,2,1,3,4,4,1,3,2,1,2,2,2,2,2,,,,,,,1,2,3,3,3,2,1,4,4,2,4,1,2,1,1,10,10,4,3,4,3,3,5,0,1,3,3,4,4,4,4,4,1,0,1,0,0,4,,2,,,,,,,,,,2,1,2,2,2,2,3,2,2,1,2,,3,,,,,,,9,7,9,6,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,4,5,3,3,3,3,4,4,4,5,20000,4,3,3,2,2,3,0,4,1,1,1,1,1,1,1,0,2,15,1,1,4,1,1,0,4,3,1,3,1,1,,
1365,3,2,4,,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,,2,,5,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,5,2,5,4,1,5,3,3,3,3,2,1,2,2,4,0,,,,,,,,,,,,,,,5,4,3,1,2,1,5,5,5,5,5,3,3,3,1,11,8,4,4,5,5,4,5,0,1,3,1,4,3,3,4,4,1,0,0,1,0,2,,1,0,1,,,,,,,,,,,,,,,,,2,,,,1,8,3,,,,5,3,6,2,2,3,4,5,5,5,5,5,3,3,4,3,3,2,4,4,4,4,5,4,3,3,3,5,5,5,100,,5,3,5,4,5,5,0,3,1,1,1,1,0,0,1,0,3,,0,1,3,,99,99,,4,2,99,0,,98,
1366,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,3,1,5,5,4,4,3,1,4,2,2,2,0,,,,,,,,,,,,,,,1,3,1,1,1,2,1,1,1,2,3,2,3,4,1,11,11,5,4,5,4,2,5,0,1,3,2,3,3,3,2,4,4,0,1,0,0,4,,2,,,,,,,,,,2,0,,,,,,,,1,98,,4,,,,,,,,7,6,,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,3,5,3,2,2,3,2,2,4,20,7500,3,3,3,2,1,1,0,2,1,1,1,1,1,0,1,0,3,,0,1,2,0,0,1,2,4,1,3,1,1,,
1367,3,2,4,,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,2,2,2,6,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,2,5,4,2,5,5,3,5,3,1,4,2,2,2,0,,,,,,,,,,,,,,,1,1,1,1,1,2,4,3,3,3,4,3,2,2,2,10,11,5,4,4,3,1,5,0,1,4,3,3,3,3,3,4,6,0,1,1,1,1,,,,,,,,,,,,3,1,3,2,1,3,3,1,1,2,,,,1,7,3,,,,3,2,5,3,5,5,4,5,4,4,4,4,4,4,5,4,4,3,5,5,4,4,5,4,3,4,3,3,3,3,10,8000,3,3,3,3,3,2,0,2,0,1,1,1,1,0,0,0,3,,0,1,2,1,1,1,1,4,1,5,0,,1,5
1368,3,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,2,2,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,5,4,4,4,4,4,4,3,3,2,4,0,,,,,,,,,,,,,,,1,1,1,1,2,1,1,4,4,3,4,1,2,1,1,9,9,5,5,4,5,5,5,0,1,3,3,3,3,3,3,4,6,0,0,1,0,2,,2,,,,,,,,,,2,0,,,,,,,,4,,,,,,,,,,8,6,6,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,5,4,5,5,5,5,4,5,3,5,5,4,50,15000,3,3,3,3,3,4,0,,0,1,0,0,0,0,0,0,98,,0,1,4,1,1,0,3,2,2,4,0,,98,
1369,3,2,4,,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,1,7,2,3,4,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,5,1,3,5,5,5,4,4,2,1,4,2,3,1,99,,,,,,,,,,,,,,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,11,11,5,5,5,5,4,5,0,1,2,2,3,4,3,3,4,0,,,,,,,2,,,,,,,,,,2,0,,,,,,,,1,1,80,1,,,,,,,5,1,6,4,4,4,5,4,4,3,4,5,3,5,5,3,3,4,4,4,5,3,4,4,2,2,0,4,2,5,5,7500,3,5,3,4,4,4,1,1,1,1,1,0,0,0,0,0,3,,1,1,3,0,0,0,1,3,2,4,0,,1,5
1370,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,1,2,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,3,3,5,5,5,5,5,4,5,5,3,3,3,2,3,1,2,98,98,1,3,3,1,2,,,,,,,1,1,2,2,5,1,1,1,1,1,3,2,2,1,1,11,11,5,5,4,4,3,5,0,1,3,2,3,4,3,3,4,10,0,0,1,0,3,,1,0,3,1,3,3,3,3,1,1,,,,,,,,,,3,,,,,,,1,10,3,5,1,5,1,3,4,4,5,4,4,4,4,4,5,4,5,5,4,5,4,3,4,5,5,0,0,3,3,3,5,1,1000000,3,3,3,3,3,3,0,3,1,1,1,0,0,0,0,0,98,,0,1,3,0,0,0,4,,1,95,0,,2,
1371,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,,1,,5,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,4,5,5,5,4,4,4,4,4,3,4,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,5,5,5,5,5,5,0,1,3,1,3,3,4,3,4,5,0,1,0,0,3,,2,,,,,,,,,,2,1,1,1,3,3,3,2,1,1,1,40,2,,,,,,,4,2,6,3,3,3,2,4,3,3,5,5,5,5,5,4,2,3,3,3,2,5,5,5,5,5,4,5,4,4,5,10000,3,4,4,3,4,4,0,3,1,1,1,0,0,0,0,0,2,7,1,1,4,1,1,0,2,2,1,5,0,,1,2
1372,3,2,4,,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,3,1,14,1,14,4,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,1,1,5,4,2,5,3,2,2,2,1,2,4,4,4,1,3,2,1,2,3,3,2,1,,,,,,,1,2,2,1,1,1,4,4,4,5,3,3,2,3,3,10,10,5,5,98,3,4,5,0,1,2,2,4,4,4,3,4,0,,,,,3,,2,,,,,,,,,,1,0,,,,,,,,1,1,75,3,,,,,,,8,1,9,1,3,3,4,3,3,4,3,5,4,5,4,3,2,2,3,3,4,4,4,4,2,3,1,3,3,4,100,10000,3,4,4,2,2,2,0,2,1,1,0,0,0,0,0,0,3,,0,1,4,1,0,1,2,3,2,4,0,,98,
1373,3,2,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,3,2,5,2,5,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,5,5,5,5,5,5,5,3,4,3,3,4,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,5,5,98,4,98,5,0,0,,,4,4,4,3,4,4,1,0,0,0,,,99,,,,,,,,,,,,,,,,,,,1,1,75,3,,,,,,,6,3,6,1,5,5,5,5,5,5,5,5,98,5,5,5,4,3,5,1,3,5,5,2,2,2,2,2,2,2,1,10000,3,3,3,1,2,2,0,,1,1,1,1,1,0,0,0,98,,0,1,97,0,0,1,4,1,2,2,1,0,,
1374,3,2,4,,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,2,2,3,1,10,6,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,4,5,4,3,1,1,3,3,4,3,3,0,,,,,,,,,,,,,,,3,1,3,1,1,1,2,3,4,1,5,5,5,3,1,11,11,5,5,5,5,98,5,0,1,3,2,3,4,4,3,4,2,0,0,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,2,,,,1,20,3,,,,5,1,5,1,2,1,3,1,1,1,1,4,3,4,4,3,2,1,4,5,4,5,5,5,1,3,2,1,1,1,0,10000,3,3,3,1,1,3,0,1,1,1,1,1,1,0,0,0,3,,0,0,4,,99,0,3,3,1,1,1,1,,
1375,3,2,4,,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,1,2,4,8,4,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,4,4,5,5,5,5,5,5,5,5,4,2,5,4,3,1,4,3,1,1,1,3,3,2,,,,,,,3,3,3,2,2,1,5,5,5,5,5,5,5,2,3,11,11,5,2,5,5,5,5,0,1,6,4,3,3,3,3,3,6,1,1,1,1,4,,2,,,,,,,,,,1,1,3,3,2,2,3,2,3,1,1,250,5,,,,,,,7,10,11,11,3,4,4,4,5,5,5,3,3,2,3,5,5,5,3,3,3,5,5,3,4,4,3,4,5,4,1,0,3,3,3,2,2,4,0,2,1,1,1,1,1,1,1,0,3,,1,1,4,1,1,0,3,2,2,4,1,1,,
1376,3,2,4,,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,3,2,3,7,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,3,1,5,5,4,5,5,3,5,3,1,2,3,2,3,0,,,,,,,,,,,,,,,1,1,5,1,1,5,5,5,5,1,5,3,1,3,1,11,11,5,3,5,4,3,5,0,1,2,1,4,4,4,3,3,0,,,,,1,1,1,0,3,3,2,3,3,3,3,3,,,,,,,,,,2,,,,1,7,4,,,,4,1,5,1,5,3,5,3,5,5,5,5,4,5,5,5,5,1,1,0,0,1,3,5,0,1,1,1,1,2,1,5000,5,5,3,4,5,5,0,1,1,1,1,1,1,0,0,0,2,15,0,1,90,0,0,0,3,4,1,5,0,,1,1
1377,3,2,4,,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,,,,,,2,2,1,2,1,4,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,4,4,4,3,5,5,5,5,4,3,3,3,0,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,4,3,4,2,2,2,2,8,8,5,4,98,5,5,5,0,1,2,1,4,4,4,4,4,3,0,0,1,0,2,,2,,,,,,,,,,2,0,,,,,,,,1,1,80,3,,,,,,,3,2,5,3,4,4,3,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,3,2,3,4,3,5,100,10000,4,4,3,1,1,2,0,1,1,1,1,0,0,0,0,0,3,,0,1,3,0,0,1,3,3,2,2,0,,1,1
1378,3,2,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,2,2,2,2,7,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,4,4,4,4,4,4,1,1,2,4,4,5,0,,,,,,,,,,,,,,,1,1,4,4,2,4,4,4,4,4,4,4,4,1,1,9,9,5,3,3,5,5,5,0,1,3,3,3,4,4,4,4,0,,,,,,,2,,,,,,,,,,2,0,,,,,,,,1,98,,4,,,,,,,,,,,4,4,4,5,4,4,5,4,3,5,3,4,2,1,1,3,4,4,5,4,1,1,1,4,2,1,1,,99,99,99,99,99,99,0,3,1,1,1,1,0,1,0,0,98,,0,1,99,1,0,0,,3,3,95,0,,98,
1379,3,2,4,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,2,2,3,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,1,5,5,5,5,5,5,4,3,1,3,2,2,5,0,,,,,,,,,,,,,,,4,1,5,1,1,2,5,5,5,3,4,3,3,2,1,11,11,5,5,5,5,5,5,0,1,4,2,2,4,4,3,3,10,1,1,1,1,4,,1,1,3,2,1,3,2,3,2,1,,,,,,,,,,2,,,,1,7,4,,,,6,3,9,,4,4,4,4,5,4,4,3,4,5,4,4,4,4,5,5,5,5,5,4,1,1,2,1,3,1,0,25000,4,3,3,5,3,3,0,4,0,1,0,1,0,0,0,0,3,,0,1,3,1,0,0,3,2,1,4,1,1,,
1380,3,2,2,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,30,2,,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,98,3,4,4,4,4,98,3,2,2,3,0,,,,,,,,,,,,,,,1,2,5,1,1,1,1,4,1,1,1,1,1,1,1,11,11,5,3,5,5,5,98,0,0,,,3,3,3,3,2,5,0,1,0,0,1,,2,,,,,,,,,,2,0,,,,,,,,1,1,40,3,,,,,,,7,6,7,6,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,4,3,4,3,4,25,6000,4,3,3,3,2,3,0,4,1,1,1,1,1,1,1,0,2,4,1,1,90,1,1,0,,2,3,4,1,0,,
1381,3,2,4,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,,1,,6,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,4,4,3,4,4,4,4,3,2,4,2,4,0,,,,,,,,,,,,,,,2,1,3,2,4,4,2,3,3,2,3,3,4,2,2,11,9,5,4,4,4,4,4,0,1,2,1,4,3,4,3,4,0,,,,,1,2,2,,,,,,,,,,2,1,1,1,2,2,3,1,1,3,,,,,,,1,20,1,3,1,5,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,5,3,3,4,2,4,4,4,1,5500,1,1,3,3,2,2,0,2,0,0,0,0,0,0,0,1,2,10,0,1,2,1,1,0,,3,1,5,0,,1,5
1382,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,5,2,3,6,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,4,4,5,2,2,1,1,2,4,3,2,4,0,,,,,,,,,,,,,,,1,1,4,1,1,4,3,2,3,3,3,2,4,3,2,7,1,2,1,4,3,3,4,0,1,1,1,4,4,4,4,4,0,,,,,2,1,1,1,3,1,2,3,3,3,1,2,,,,,,,,,,1,1,120,4,,,,,,,5,2,5,1,1,1,1,1,2,1,2,4,4,5,3,2,3,3,2,1,3,4,4,4,3,3,3,4,4,5,100,5000,4,4,3,4,4,3,0,2,1,1,1,0,0,0,0,0,2,3,0,1,5,0,0,0,2,3,1,5,0,,1,3
1383,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,21,1,21,6,3,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,,,,,,,,,,,0,0,1,0,1,0,0,1,0,1,,,,,,,,,,,2,0,5,4,4,3,4,3,4,2,1,4,2,2,4,0,,,,,,,,,,,,,,,3,1,4,1,1,1,4,4,3,1,5,2,2,1,1,9,11,5,5,5,3,2,3,0,1,4,4,2,4,4,3,4,3,0,0,1,0,,,1,0,1,,,,,,,,,,,,,,,,,1,2,3000,4,,,,,,,9,5,11,7,4,2,3,2,4,1,4,2,4,5,5,3,3,3,3,3,4,4,5,3,1,3,3,5,4,5,10,6000,3,4,3,2,3,4,0,2,1,1,0,1,0,0,0,0,2,5,1,1,4,0,0,1,4,3,1,4,0,,1,1
1384,3,2,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,3,1,2,2,2,6,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,5,4,5,3,3,3,3,4,3,4,4,4,1,2,3,1,2,2,1,1,1,,,,,,,1,2,1,1,2,1,1,2,3,1,1,1,3,2,1,11,11,5,3,5,5,5,5,0,1,2,1,3,3,3,3,4,3,0,1,0,0,,,2,,,,,,,,,,2,0,,,,,,,,1,1,100,1,,,,,,,8,1,9,,3,3,3,4,5,3,5,5,5,5,5,3,3,3,5,4,4,5,5,3,4,4,3,3,4,4,50,6000,2,3,3,2,2,3,1,4,0,1,0,1,0,0,0,0,3,,1,1,4,1,1,0,2,1,2,3,0,,1,3
1385,3,2,4,,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,,,,,,2,1,5,1,14,6,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,2,2,5,2,4,4,4,4,4,4,3,3,4,4,4,1,2,1,1,2,2,1,1,1,,,,,,,1,2,1,1,1,1,5,5,5,5,4,4,4,1,2,8,9,5,4,4,4,3,3,0,1,1,1,4,4,4,3,4,2,0,0,1,0,2,,2,,,,,,,,,,2,1,3,2,3,3,3,2,1,1,1,100,4,,,,,,,7,5,5,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,2,4,4,1,1,2,1,3,3,3,5,7000,3,3,3,3,2,3,0,2,1,1,0,1,0,0,0,0,98,,1,1,2,0,0,0,3,2,2,4,1,0,,
1386,3,2,1,,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,3,1,,2,,3,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,5,5,5,5,5,5,5,5,1,4,2,4,0,,,,,,,,,,,,,,,4,1,5,1,4,4,4,4,4,4,4,4,4,4,4,11,11,5,2,98,4,98,4,0,1,1,1,4,4,4,4,4,1,1,0,0,0,,,2,,,,,,,,,,2,1,99,99,99,99,99,99,99,1,1,120,1,,,,,,,6,2,9,,98,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,5,100000,2,3,3,3,2,3,0,,1,1,1,1,1,1,1,0,2,12,,1,4,0,0,1,2,1,1,3,0,,98,
1387,3,2,4,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,3,1,7,2,6,6,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,5,5,5,4,4,4,4,0,,,,,,,,,,,,,,,5,1,5,1,4,4,5,5,4,5,4,4,4,1,1,11,11,5,5,5,5,5,5,0,1,3,3,4,4,4,2,4,3,0,1,0,0,2,,2,,,,,,,,,,1,0,,,,,,,,1,2,1100,2,,,,,,,6,3,4,4,5,3,4,3,5,3,5,5,4,5,5,1,1,1,5,4,3,5,5,1,5,3,2,3,2,2,0,10000,4,3,2,2,2,2,0,2,1,1,1,1,1,1,1,0,3,,0,1,4,0,0,1,4,4,2,2,1,0,,
